Teacher,last_name,first_name,day,time,form,level,piano,vocal,guitar,contact_1_name,contact_1_num,contact_2_name,contact_2_num,contact_3_name,contact_3_num,birthday,allergies
John,Roslen,Wendell,Saturday,5:48 PM,false,Early Intermediate,false,false,false,Wendell Roslen,2106789531,Wendell Roslen,6311896788,,"",7/17/2012,
Sally,Ornells,Garth,Tuesday,2:50 PM,false,Intermediate,true,false,false,Garth Ornells,9749127050,Garth Ornells,7665768135,,"",3/15/2013,
Sally,Findlay,Dolph,Tuesday,3:45 PM,false,Intermediate,false,true,true,Dolph Findlay,6496887217,Dolph Findlay,6603093662,,"",6/26/2002,
Mary,Kilbourn,Daven,Monday,1:15 PM,true,Elementary,true,true,false,Daven Kilbourn,2641956101,Daven Kilbourn,2655532654,,"",10/12/2019,Metoclopramide
Mary,Blamey,Olga,Friday,10:41 AM,true,Early Beginner,true,true,true,Olga Blamey,7907397592,Olga Blamey,4644090083,,"",5/30/2013,Levetiracetam
Sally,Whillock,Amye,Monday,4:07 PM,true,Early Intermediate,false,false,false,Amye Whillock,6843028942,Amye Whillock,4599886956,,"",4/30/2010,
John,O'Geneay,Amelie,Thursday,7:37 PM,false,Beginner,true,true,true,Amelie O'Geneay,5753094405,Amelie O'Geneay,4364674117,,"",9/20/2000,
Sally,Buff,Caye,Friday,6:07 PM,true,Early Intermediate,true,false,false,Caye Buff,1184102644,Caye Buff,1655362427,,"",3/19/2010,
Sally,Burkert,Fonsie,Monday,1:14 PM,true,Late Elementary,false,false,true,Fonsie Burkert,5999338316,Fonsie Burkert,3868486174,,"",10/26/2007,
John,Coopey,Sheba,Saturday,2:36 PM,false,Advanced,true,true,false,Sheba Coopey,6774831558,Sheba Coopey,8276003406,,"",4/7/2015,
Tim,Churchill,Loni,Friday,5:07 PM,true,Late Elementary,false,true,true,Loni Churchill,7214615095,Loni Churchill,2888016767,,"",12/22/2016,NORETHINDRONE
John,Casini,Rebekah,Sunday,5:45 PM,false,Early Intermediate,false,true,false,Rebekah Casini,7021749577,Rebekah Casini,8451506289,,"",12/19/2011,
Mary,Bicker,Benedick,Monday,11:53 AM,false,Advanced,false,true,false,Benedick Bicker,4984871924,Benedick Bicker,6092804077,,"",10/1/2015,
Tim,Hindge,Mercedes,Sunday,3:40 PM,false,Advanced,false,false,true,Mercedes Hindge,8857215225,Mercedes Hindge,6534507241,,"",10/7/2010,
Mary,Darch,Felice,Tuesday,7:58 PM,true,Beginner,false,true,false,Felice Darch,8563757788,Felice Darch,8298759661,,"",12/1/2017,
Tim,Lamperti,Allistir,Monday,10:25 AM,true,Advanced,true,false,false,Allistir Lamperti,1126866682,Allistir Lamperti,4679413115,,"",12/3/2002,"Titanium Dioxide, Octinoxate, Zinc Oxide, Octisalate"
Mary,Warlton,Livia,Friday,6:34 PM,false,Early Intermediate,true,true,true,Livia Warlton,5833066208,Livia Warlton,8306560814,,"",10/9/2005,
John,Janew,Dredi,Wednesday,7:49 PM,true,Early Intermediate,false,false,true,Dredi Janew,6228815922,Dredi Janew,2525674325,,"",3/10/2015,
John,Blowen,Fabe,Thursday,7:12 PM,false,Early Beginner,true,true,true,Fabe Blowen,4594119035,Fabe Blowen,5165709688,,"",11/3/2006,
John,Jemmison,Malina,Saturday,2:42 PM,false,Early Beginner,true,true,true,Malina Jemmison,1389307656,Malina Jemmison,6447525935,,"",1/5/2019,
John,Parlet,Tansy,Monday,12:45 PM,true,Beginner,true,true,false,Tansy Parlet,4303575290,Tansy Parlet,5568064676,,"",4/9/2006,
John,Ellesworth,Erminia,Tuesday,2:58 PM,false,Late Elementary,false,false,false,Erminia Ellesworth,9233356584,Erminia Ellesworth,2969768766,,"",5/28/2007,Cefdinir
Sally,Lott,Teador,Thursday,10:12 AM,true,Beginner,true,false,true,Teador Lott,5252385716,Teador Lott,2531779322,,"",10/18/2002,
John,Alpine,Hurlee,Tuesday,11:18 AM,false,Late Elementary,false,false,false,Hurlee Alpine,8365759854,Hurlee Alpine,5897592153,,"",9/8/2018,
Sally,Woltering,Emerson,Friday,6:35 PM,false,Beginner,false,true,false,Emerson Woltering,1228443282,Emerson Woltering,7609489161,Emerson Woltering,7274036391,12/2/2002,
Mary,Danielian,Gaspar,Saturday,2:08 PM,false,Intermediate,true,true,true,Gaspar Danielian,4509098884,Gaspar Danielian,9372459829,,"",12/8/2011,
Tim,Duffield,Arne,Sunday,11:41 AM,false,Advanced,false,false,false,Arne Duffield,1738722599,Arne Duffield,9705628825,,"",2/3/2003,
John,Poker,Karissa,Friday,1:37 PM,false,Beginner,false,false,false,Karissa Poker,4295745205,Karissa Poker,6763417375,,"",10/26/2008,
John,Chewter,Mata,Saturday,10:03 AM,false,Advanced,false,true,true,Mata Chewter,2977824781,Mata Chewter,4701668560,,"",8/23/2013,
John,Le Quesne,Tessy,Sunday,5:54 PM,true,Elementary,false,false,true,Tessy Le Quesne,9152697653,Tessy Le Quesne,3129916382,,"",12/16/2012,
Sally,Dundon,Christoforo,Tuesday,12:58 PM,false,Early Beginner,false,true,false,Christoforo Dundon,9429624043,Christoforo Dundon,5509920812,,"",4/24/2012,"Avobenzone, Homosalate, Octisalate, Octocrylene, and Oxybenzone"
